"","Site.Code","RICHNESS","RICHNESS_NAT","Proportion","Region"
"331","R1",2,0,0,"SLL"
"332","R10",1,1,1,"SLL"
"333","R100",1,1,1,"SLL"
"334","R101",1,1,1,"SLL"
"335","R102",1,1,1,"SLL"
"336","R103",7,4,0.571428571428571,"SLL"
"337","R104",1,0,0,"SLL"
"338","R105",1,1,1,"SLL"
"339","R106",1,1,1,"SLL"
"340","R107",1,1,1,"SLL"
"341","R108",2,1,0.5,"SLL"
"342","R109",1,1,1,"SLL"
"343","R11",3,1,0.333333333333333,"SLL"
"344","R110",4,2,0.5,"SLL"
"345","R111",1,0,0,"SLL"
"346","R112",1,0,0,"SLL"
"347","R113",16,6,0.375,"SLL"
"348","R114",13,7,0.538461538461538,"SLL"
"349","R115",2,1,0.5,"SLL"
"350","R116",5,2,0.4,"SLL"
"351","R117",2,1,0.5,"SLL"
"352","R118",30,8,0.266666666666667,"SLL"
"353","R119",5,1,0.2,"SLL"
"354","R12",1,0,0,"SLL"
"355","R120",1,0,0,"SLL"
"356","R121",1,0,0,"SLL"
"357","R122",1,0,0,"SLL"
"358","R123",1,0,0,"SLL"
"359","R124",1,0,0,"SLL"
"360","R125",2,0,0,"SLL"
"361","R126",1,1,1,"SLL"
"362","R127",11,3,0.272727272727273,"SLL"
"363","R128",3,1,0.333333333333333,"SLL"
"364","R129",3,1,0.333333333333333,"SLL"
"365","R13",10,5,0.5,"SLL"
"366","R130",1,1,1,"SLL"
"367","R131",2,1,0.5,"SLL"
"368","R132",16,6,0.375,"SLL"
"369","R133",2,1,0.5,"SLL"
"370","R134",2,1,0.5,"SLL"
"371","R135",4,2,0.5,"SLL"
"372","R136",3,0,0,"SLL"
"373","R137",7,3,0.428571428571429,"SLL"
"374","R138",3,3,1,"SLL"
"375","R139",10,3,0.3,"SLL"
"376","R14",2,1,0.5,"SLL"
"377","R140",4,1,0.25,"SLL"
"378","R141",3,1,0.333333333333333,"SLL"
"379","R142",4,0,0,"SLL"
"380","R143",9,7,0.777777777777778,"SLL"
"381","R144",2,0,0,"SLL"
"382","R145",1,0,0,"SLL"
"383","R146",3,1,0.333333333333333,"SLL"
"384","R147",7,3,0.428571428571429,"SLL"
"385","R148",1,0,0,"SLL"
"386","R149",11,2,0.181818181818182,"SLL"
"387","R15",1,0,0,"SLL"
"388","R150",4,2,0.5,"SLL"
"389","R151",5,1,0.2,"SLL"
"390","R152",17,7,0.411764705882353,"SLL"
"391","R153",2,1,0.5,"SLL"
"392","R154",5,2,0.4,"SLL"
"393","R155",3,2,0.666666666666667,"SLL"
"394","R156",19,3,0.157894736842105,"SLL"
"395","R157",2,2,1,"SLL"
"396","R158",4,2,0.5,"SLL"
"397","R159",4,2,0.5,"SLL"
"398","R16",1,0,0,"SLL"
"399","R160",3,2,0.666666666666667,"SLL"
"400","R161",12,5,0.416666666666667,"SLL"
"401","R162",1,0,0,"SLL"
"402","R163",9,7,0.777777777777778,"SLL"
"403","R164",4,0,0,"SLL"
"404","R17",1,1,1,"SLL"
"405","R18",3,0,0,"SLL"
"406","R19",5,1,0.2,"SLL"
"407","R2",3,0,0,"SLL"
"408","R20",4,3,0.75,"SLL"
"409","R21",1,1,1,"SLL"
"410","R22",2,1,0.5,"SLL"
"411","R23",1,0,0,"SLL"
"412","R24",2,2,1,"SLL"
"413","R25",1,0,0,"SLL"
"414","R26",3,1,0.333333333333333,"SLL"
"415","R27",1,0,0,"SLL"
"416","R28",2,1,0.5,"SLL"
"417","R29",1,0,0,"SLL"
"418","R3",2,1,0.5,"SLL"
"419","R30",1,1,1,"SLL"
"420","R31",1,1,1,"SLL"
"421","R32",1,1,1,"SLL"
"422","R33",2,2,1,"SLL"
"423","R34",2,1,0.5,"SLL"
"424","R35",3,1,0.333333333333333,"SLL"
"425","R36",1,1,1,"SLL"
"426","R37",2,0,0,"SLL"
"427","R38",1,0,0,"SLL"
"428","R39",2,2,1,"SLL"
"429","R4",3,3,1,"SLL"
"430","R40",1,0,0,"SLL"
"431","R41",1,0,0,"SLL"
"432","R42",2,0,0,"SLL"
"433","R43",1,0,0,"SLL"
"434","R44",5,1,0.2,"SLL"
"435","R45",2,1,0.5,"SLL"
"436","R46",2,1,0.5,"SLL"
"437","R47",1,0,0,"SLL"
"438","R48",2,1,0.5,"SLL"
"439","R49",2,1,0.5,"SLL"
"440","R5",3,2,0.666666666666667,"SLL"
"441","R50",1,0,0,"SLL"
"442","R51",1,0,0,"SLL"
"443","R52",1,0,0,"SLL"
"444","R53",1,0,0,"SLL"
"445","R54",1,0,0,"SLL"
"446","R55",1,0,0,"SLL"
"447","R56",2,0,0,"SLL"
"448","R57",1,0,0,"SLL"
"449","R58",1,1,1,"SLL"
"450","R59",1,0,0,"SLL"
"451","R6",2,1,0.5,"SLL"
"452","R60",1,1,1,"SLL"
"453","R61",1,1,1,"SLL"
"454","R62",1,1,1,"SLL"
"455","R63",3,2,0.666666666666667,"SLL"
"456","R64",1,0,0,"SLL"
"457","R65",2,0,0,"SLL"
"458","R66",1,0,0,"SLL"
"459","R67",7,4,0.571428571428571,"SLL"
"460","R68",1,1,1,"SLL"
"461","R69",2,0,0,"SLL"
"462","R7",3,2,0.666666666666667,"SLL"
"463","R70",1,0,0,"SLL"
"464","R71",1,0,0,"SLL"
"465","R72",1,0,0,"SLL"
"466","R73",6,3,0.5,"SLL"
"467","R74",1,0,0,"SLL"
"468","R75",1,1,1,"SLL"
"469","R76",1,1,1,"SLL"
"470","R77",1,1,1,"SLL"
"471","R78",2,2,1,"SLL"
"472","R79",1,0,0,"SLL"
"473","R8",1,1,1,"SLL"
"474","R80",1,0,0,"SLL"
"475","R81",2,1,0.5,"SLL"
"476","R82",1,0,0,"SLL"
"477","R83",4,1,0.25,"SLL"
"478","R84",1,0,0,"SLL"
"479","R85",2,0,0,"SLL"
"480","R86",5,1,0.2,"SLL"
"481","R87",1,1,1,"SLL"
"482","R88",1,1,1,"SLL"
"483","R89",2,0,0,"SLL"
"484","R9",2,1,0.5,"SLL"
"485","R90",1,0,0,"SLL"
"486","R91",1,0,0,"SLL"
"487","R92",1,0,0,"SLL"
"488","R93",1,1,1,"SLL"
"489","R94",4,3,0.75,"SLL"
"490","R95",1,0,0,"SLL"
"491","R96",1,0,0,"SLL"
"492","R97",1,0,0,"SLL"
"493","R98",1,1,1,"SLL"
"494","R99",1,0,0,"SLL"
"495","S1",2,2,1,"SLL"
"496","S10",4,2,0.5,"SLL"
"497","S100",1,0,0,"SLL"
"498","S101",3,2,0.666666666666667,"SLL"
"499","S102",3,2,0.666666666666667,"SLL"
"500","S103",1,0,0,"SLL"
"501","S104",3,1,0.333333333333333,"SLL"
"502","S105",1,0,0,"SLL"
"503","S106",3,0,0,"SLL"
"504","S107",1,0,0,"SLL"
"505","S108",1,0,0,"SLL"
"506","S109",1,0,0,"SLL"
"507","S11",3,1,0.333333333333333,"SLL"
"508","S110",3,1,0.333333333333333,"SLL"
"509","S111",1,0,0,"SLL"
"510","S112",1,1,1,"SLL"
"511","S113",1,1,1,"SLL"
"512","S114",1,0,0,"SLL"
"513","S116",1,1,1,"SLL"
"514","S117",2,2,1,"SLL"
"515","S119",3,2,0.666666666666667,"SLL"
"516","S12",1,1,1,"SLL"
"517","S120",8,6,0.75,"SLL"
"518","S121",1,0,0,"SLL"
"519","S123",2,0,0,"SLL"
"520","S124",5,1,0.2,"SLL"
"521","S125",3,1,0.333333333333333,"SLL"
"522","S126",1,1,1,"SLL"
"523","S127",4,1,0.25,"SLL"
"524","S13",2,0,0,"SLL"
"525","S14",2,1,0.5,"SLL"
"526","S15",2,2,1,"SLL"
"527","S16",3,2,0.666666666666667,"SLL"
"528","S17",2,0,0,"SLL"
"529","S18",4,1,0.25,"SLL"
"530","S19",2,0,0,"SLL"
"531","S2",3,1,0.333333333333333,"SLL"
"532","S20",3,1,0.333333333333333,"SLL"
"533","S21",2,2,1,"SLL"
"534","S22",3,1,0.333333333333333,"SLL"
"535","S24",5,2,0.4,"SLL"
"536","S25",3,1,0.333333333333333,"SLL"
"537","S26",5,0,0,"SLL"
"538","S27",1,0,0,"SLL"
"539","S28",1,0,0,"SLL"
"540","S29",2,1,0.5,"SLL"
"541","S3",4,1,0.25,"SLL"
"542","S30",4,0,0,"SLL"
"543","S31",2,0,0,"SLL"
"544","S32",2,1,0.5,"SLL"
"545","S33",4,2,0.5,"SLL"
"546","S34",4,0,0,"SLL"
"547","S35",2,1,0.5,"SLL"
"548","S36",3,1,0.333333333333333,"SLL"
"549","S37",2,0,0,"SLL"
"550","S38",3,1,0.333333333333333,"SLL"
"551","S39",1,0,0,"SLL"
"552","S4",2,1,0.5,"SLL"
"553","S40",3,0,0,"SLL"
"554","S41",2,1,0.5,"SLL"
"555","S42",3,1,0.333333333333333,"SLL"
"556","S43",2,1,0.5,"SLL"
"557","S44",4,1,0.25,"SLL"
"558","S45",3,1,0.333333333333333,"SLL"
"559","S46",1,0,0,"SLL"
"560","S47",3,0,0,"SLL"
"561","S48",2,1,0.5,"SLL"
"562","S49",2,0,0,"SLL"
"563","S5",3,1,0.333333333333333,"SLL"
"564","S50",1,1,1,"SLL"
"565","S51",2,0,0,"SLL"
"566","S52",1,0,0,"SLL"
"567","S53",2,0,0,"SLL"
"568","S54",1,0,0,"SLL"
"569","S55",5,2,0.4,"SLL"
"570","S56",4,2,0.5,"SLL"
"571","S57",2,0,0,"SLL"
"572","S58",3,1,0.333333333333333,"SLL"
"573","S59",2,1,0.5,"SLL"
"574","S6",3,1,0.333333333333333,"SLL"
"575","S60",3,1,0.333333333333333,"SLL"
"576","S61",4,0,0,"SLL"
"577","S62",5,2,0.4,"SLL"
"578","S63",4,2,0.5,"SLL"
"579","S64",2,0,0,"SLL"
"580","S65",3,1,0.333333333333333,"SLL"
"581","S66",4,3,0.75,"SLL"
"582","S67",4,1,0.25,"SLL"
"583","S69",2,1,0.5,"SLL"
"584","S7",1,0,0,"SLL"
"585","S70",1,1,1,"SLL"
"586","S71",4,0,0,"SLL"
"587","S72",5,3,0.6,"SLL"
"588","S73",1,0,0,"SLL"
"589","S74",2,1,0.5,"SLL"
"590","S75",2,0,0,"SLL"
"591","S76",3,1,0.333333333333333,"SLL"
"592","S77",3,1,0.333333333333333,"SLL"
"593","S78",2,0,0,"SLL"
"594","S79",3,2,0.666666666666667,"SLL"
"595","S8",1,1,1,"SLL"
"596","S80",4,1,0.25,"SLL"
"597","S81",2,1,0.5,"SLL"
"598","S82",3,1,0.333333333333333,"SLL"
"599","S83",2,0,0,"SLL"
"600","S84",5,3,0.6,"SLL"
"601","S85",2,0,0,"SLL"
"602","S86",4,0,0,"SLL"
"603","S87",2,0,0,"SLL"
"604","S88",3,3,1,"SLL"
"605","S89",2,1,0.5,"SLL"
"606","S9",2,1,0.5,"SLL"
"607","S90",3,3,1,"SLL"
"608","S91",2,2,1,"SLL"
"609","S92",2,2,1,"SLL"
"610","S93",5,2,0.4,"SLL"
"611","S94",1,0,0,"SLL"
"612","S95",3,2,0.666666666666667,"SLL"
"613","S96",3,2,0.666666666666667,"SLL"
"614","S97",3,1,0.333333333333333,"SLL"
"615","S98",2,1,0.5,"SLL"
"616","S99",1,0,0,"SLL"
