"","X","ABUNDANCE_TOT","ABUNDANCE_NAT","Region","Proportions"
"239","Y40",2,"2","ETF",1
"240","Y41",1,"0","ETF",0
"241","Y42",3,"2","ETF",0.666666666666667
"242","Y43",1,"1","ETF",1
"243","Y44",14,"2","ETF",0.142857142857143
"244","Y45",2,"2","ETF",1
"245","Y46",2,"1","ETF",0.5
"246","Y47",1,"1","ETF",1
"247","Y48",4,"3","ETF",0.75
"248","Y49",3,"2","ETF",0.666666666666667
"249","Y5",4,"3","ETF",0.75
"250","Y50",1,"0","ETF",0
"251","Y51",1,"1","ETF",1
"252","Y52",1,"1","ETF",1
"253","Y53",1,"1","ETF",1
"254","Y54",2,"2","ETF",1
"255","Y55",1,"0","ETF",0
"256","Y56",2,"0","ETF",0
"257","Y57",1,"0","ETF",0
"258","Y59",1,"0","ETF",0
"259","Y6",1,"0","ETF",0
"260","Y62",1,"1","ETF",1
"261","Y63",3,"3","ETF",1
"262","Y64",1,"0","ETF",0
"263","Y65",2,"1","ETF",0.5
"264","Y66",1,"0","ETF",0
"265","Y67",16,"11","ETF",0.6875
"266","Y68",1,"1","ETF",1
"267","Y69",3,"2","ETF",0.666666666666667
"268","Y7",4,"2","ETF",0.5
"269","Y70",1,"0","ETF",0
"270","Y71",1,"0","ETF",0
"271","Y72",1,"0","ETF",0
"272","Y73",5,"3","ETF",0.6
"273","Y74",1,"1","ETF",1
"274","Y78",2,"2","ETF",1
"275","Y79",2,"0","ETF",0
"276","Y8",3,"3","ETF",1
"277","Y80",2,"0","ETF",0
"278","Y81",2,"1","ETF",0.5
"279","Y83",4,"2","ETF",0.5
"280","Y84",2,"2","ETF",1
"281","Y85",3,"0","ETF",0
"282","Y86",6,"1","ETF",0.166666666666667
"283","Y87",1,"1","ETF",1
"284","Y88",1,"1","ETF",1
"285","Y89",2,"0","ETF",0
"286","Y9",2,"1","ETF",0.5
"287","Y90",1,"0","ETF",0
"288","Y91",2,"2","ETF",1
"289","Y92",1,"0","ETF",0
"290","Y94",4,"3","ETF",0.75
"291","Y95",2,"2","ETF",1
"292","Y96",1,"0","ETF",0
"293","Y97",1,"0","ETF",0
"294","Y98",1,"1","ETF",1
"295","Y99",1,"0","ETF",0
