"","Site.Code","RICHNESS","RICHNESS_NAT","Proportion","Region"
"205","Y156",17,5,0.294117647058824,"ETF"
"206","Y157",1,1,1,"ETF"
"207","Y158",4,3,0.75,"ETF"
"208","Y159",3,1,0.333333333333333,"ETF"
"209","Y16",1,0,0,"ETF"
"210","Y160",2,1,0.5,"ETF"
"211","Y161",7,4,0.571428571428571,"ETF"
"212","Y162",1,0,0,"ETF"
"213","Y163",8,7,0.875,"ETF"
"214","Y164",4,0,0,"ETF"
"215","Y17",1,1,1,"ETF"
"216","Y18",3,1,0.333333333333333,"ETF"
"217","Y19",5,2,0.4,"ETF"
"218","Y2",3,1,0.333333333333333,"ETF"
"219","Y20",3,3,1,"ETF"
"220","Y22",2,2,1,"ETF"
"221","Y23",1,0,0,"ETF"
"222","Y24",1,1,1,"ETF"
"223","Y25",1,0,0,"ETF"
"224","Y26",2,1,0.5,"ETF"
"225","Y27",1,0,0,"ETF"
"226","Y28",2,2,1,"ETF"
"227","Y29",1,0,0,"ETF"
"228","Y3",2,1,0.5,"ETF"
"229","Y30",1,1,1,"ETF"
"230","Y32",1,1,1,"ETF"
"231","Y33",1,1,1,"ETF"
"232","Y34",2,2,1,"ETF"
"233","Y35",3,2,0.666666666666667,"ETF"
"234","Y36",1,1,1,"ETF"
"235","Y37",2,0,0,"ETF"
"236","Y38",1,0,0,"ETF"
"237","Y39",1,1,1,"ETF"
"238","Y4",2,2,1,"ETF"
"239","Y40",1,1,1,"ETF"
"240","Y41",1,0,0,"ETF"
"241","Y42",2,1,0.5,"ETF"
"242","Y43",1,1,1,"ETF"
"243","Y44",5,2,0.4,"ETF"
"244","Y45",2,2,1,"ETF"
"245","Y46",2,1,0.5,"ETF"
"246","Y47",1,1,1,"ETF"
"247","Y48",2,1,0.5,"ETF"
"248","Y49",2,1,0.5,"ETF"
"249","Y5",3,2,0.666666666666667,"ETF"
"250","Y50",1,0,0,"ETF"
"251","Y51",1,1,1,"ETF"
"252","Y52",1,1,1,"ETF"
"253","Y53",1,1,1,"ETF"
"254","Y54",1,1,1,"ETF"
"255","Y55",1,0,0,"ETF"
"256","Y56",2,0,0,"ETF"
"257","Y57",1,0,0,"ETF"
"258","Y59",1,0,0,"ETF"
"259","Y6",1,0,0,"ETF"
"260","Y62",1,1,1,"ETF"
"261","Y63",3,3,1,"ETF"
"262","Y64",1,0,0,"ETF"
"263","Y65",2,1,0.5,"ETF"
"264","Y66",1,0,0,"ETF"
"265","Y67",7,4,0.571428571428571,"ETF"
"266","Y68",1,1,1,"ETF"
"267","Y69",2,1,0.5,"ETF"
"268","Y7",2,1,0.5,"ETF"
"269","Y70",1,0,0,"ETF"
"270","Y71",1,0,0,"ETF"
"271","Y72",1,0,0,"ETF"
"272","Y73",4,2,0.5,"ETF"
"273","Y74",1,1,1,"ETF"
"274","Y78",1,1,1,"ETF"
"275","Y79",1,0,0,"ETF"
"276","Y8",1,1,1,"ETF"
"277","Y80",1,0,0,"ETF"
"278","Y81",2,1,0.5,"ETF"
"279","Y83",3,1,0.333333333333333,"ETF"
"280","Y84",1,1,1,"ETF"
"281","Y85",2,0,0,"ETF"
"282","Y86",5,1,0.2,"ETF"
"283","Y87",1,1,1,"ETF"
"284","Y88",1,1,1,"ETF"
"285","Y89",2,0,0,"ETF"
"286","Y9",2,1,0.5,"ETF"
"287","Y90",1,0,0,"ETF"
"288","Y91",1,1,1,"ETF"
"289","Y92",1,0,0,"ETF"
"290","Y94",4,3,0.75,"ETF"
"291","Y95",1,1,1,"ETF"
"292","Y96",1,0,0,"ETF"
"293","Y97",1,0,0,"ETF"
"294","Y98",1,1,1,"ETF"
"295","Y99",1,0,0,"ETF"
"296","A1",3,1,0.333333333333333,"SLL"
"297","A10",1,0,0,"SLL"
"298","A11",6,2,0.333333333333333,"SLL"
"299","A12",6,5,0.833333333333333,"SLL"
"300","A13",3,2,0.666666666666667,"SLL"
"301","A2",2,1,0.5,"SLL"
"302","A3",1,0,0,"SLL"
"303","A4",2,1,0.5,"SLL"
"304","A5",2,0,0,"SLL"
"305","A6",3,1,0.333333333333333,"SLL"
"306","A7",4,0,0,"SLL"
"307","A8",2,0,0,"SLL"
"308","A9",5,3,0.6,"SLL"
"309","I1",31,17,0.548387096774194,"SLL"
"310","I2",10,4,0.4,"SLL"
"311","I3",6,2,0.333333333333333,"SLL"
"312","I4",2,1,0.5,"SLL"
"313","I5",5,3,0.6,"SLL"
"314","I6",25,12,0.48,"SLL"
"315","P1",10,5,0.5,"SLL"
"316","P2",6,2,0.333333333333333,"SLL"
"317","P3",8,3,0.375,"SLL"
"318","S1",2,2,1,"SLL"
"319","S10",4,2,0.5,"SLL"
"320","S100",1,0,0,"SLL"
"321","S101",3,2,0.666666666666667,"SLL"
"322","S102",3,2,0.666666666666667,"SLL"
"323","S103",1,0,0,"SLL"
"324","S104",3,1,0.333333333333333,"SLL"
"325","S105",1,0,0,"SLL"
"326","S106",3,0,0,"SLL"
"327","S107",1,0,0,"SLL"
"328","S108",1,0,0,"SLL"
"329","S109",1,0,0,"SLL"
"330","S11",3,1,0.333333333333333,"SLL"
"331","S110",3,1,0.333333333333333,"SLL"
"332","S111",1,0,0,"SLL"
"333","S112",1,1,1,"SLL"
"334","S113",1,1,1,"SLL"
"335","S114",1,0,0,"SLL"
"336","S116",1,1,1,"SLL"
"337","S117",2,2,1,"SLL"
"338","S119",3,2,0.666666666666667,"SLL"
"339","S12",1,1,1,"SLL"
"340","S120",8,6,0.75,"SLL"
"341","S121",1,0,0,"SLL"
"342","S123",2,0,0,"SLL"
"343","S124",5,1,0.2,"SLL"
"344","S125",3,1,0.333333333333333,"SLL"
"345","S126",1,1,1,"SLL"
"346","S127",4,1,0.25,"SLL"
"347","S13",2,0,0,"SLL"
"348","S14",2,1,0.5,"SLL"
"349","S15",2,2,1,"SLL"
"350","S16",3,2,0.666666666666667,"SLL"
"351","S17",2,0,0,"SLL"
"352","S18",4,1,0.25,"SLL"
"353","S19",2,0,0,"SLL"
"354","S2",3,1,0.333333333333333,"SLL"
"355","S20",3,1,0.333333333333333,"SLL"
"356","S21",2,2,1,"SLL"
"357","S22",3,1,0.333333333333333,"SLL"
"358","S24",5,2,0.4,"SLL"
"359","S25",3,1,0.333333333333333,"SLL"
"360","S26",5,0,0,"SLL"
"361","S27",1,0,0,"SLL"
"362","S28",1,0,0,"SLL"
"363","S29",2,1,0.5,"SLL"
"364","S3",4,1,0.25,"SLL"
"365","S30",4,0,0,"SLL"
"366","S31",2,0,0,"SLL"
"367","S32",2,1,0.5,"SLL"
"368","S33",4,2,0.5,"SLL"
"369","S34",4,0,0,"SLL"
"370","S35",2,1,0.5,"SLL"
"371","S36",3,1,0.333333333333333,"SLL"
"372","S37",2,0,0,"SLL"
"373","S38",3,1,0.333333333333333,"SLL"
"374","S39",1,0,0,"SLL"
"375","S4",2,1,0.5,"SLL"
"376","S40",3,0,0,"SLL"
"377","S41",2,1,0.5,"SLL"
"378","S42",3,1,0.333333333333333,"SLL"
"379","S43",2,1,0.5,"SLL"
"380","S44",4,1,0.25,"SLL"
"381","S45",3,1,0.333333333333333,"SLL"
"382","S46",1,0,0,"SLL"
"383","S47",3,0,0,"SLL"
"384","S48",2,1,0.5,"SLL"
"385","S49",2,0,0,"SLL"
"386","S5",3,1,0.333333333333333,"SLL"
"387","S50",1,1,1,"SLL"
"388","S51",2,0,0,"SLL"
"389","S52",1,0,0,"SLL"
"390","S53",2,0,0,"SLL"
"391","S54",1,0,0,"SLL"
"392","S55",5,2,0.4,"SLL"
"393","S56",4,2,0.5,"SLL"
"394","S57",2,0,0,"SLL"
