"","Site.Type","Site.Code","Genus.Code","Species.Code","X","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Comments"
"136","I","I2","TI","TICO",142,"TICO","Tilia cordata","Littleleaf European Linden","N","N","USDA",""
"137","S","S102","TI","TICO",142,"TICO","Tilia cordata","Littleleaf European Linden","N","N","USDA",""
"138","S","S2","TI","TICO",142,"TICO","Tilia cordata","Littleleaf European Linden","N","N","USDA",""
"139","P","P1","TI","TICO",142,"TICO","Tilia cordata","Littleleaf European Linden","N","N","USDA",""
"140","Y","Y128","TS","TSCA",146,"TSCA","Tsuga Canadensis","Eastern hemlock","Y","Y","USDA/TC.LM",""
"141","S","S34","UL","UL",178,"UL","Ulmus","",NA,NA,NA,""
"142","A","A9","UL","ULAM",147,"ULAM","Ulmus americana","White Elm","Y","Y","USDA/TC/LM",""
"143","S","S16","UL","ULDA",148,"ULDADI","Ulmus davidiana 'Discovery'","Japanese Elm","N","N","USDA/Mortens",""
"144","S","S30","UL","ULHO",149,"ULHOPI","Ulmus x hollandica 'Pioneer'","Pioneer Elm","N","N","Mortens",""
"145","A","A1","UL","ULLA",150,"ULLA","Ulmus Laevis","White Elm","N","N","http://www.euforgen.org/species/ulmus-laevis/",""
"146","Y","Y83","UL","ULMI",155,"ULXXMO","Ulmus x 'Morton' (Accolade TM)","Morton (Accolade TM) Elm","N","N","Mortons",""
"147","A","A7","UL","ULPU",151,"ULPU","Ulmus pumila","Siberian Elm","N","N","USDA/TC/LM",""
"148","S","S124","UL","ULPU",151,"ULPU","Ulmus pumila","Siberian Elm","N","N","USDA/TC/LM",""
"149","I","I1","UL","ULRU",189,"ULRU","Ulmus rubra","","Y","Y","https://www.fs.fed.us/database/feis/plants/tree/ulmrub/all.html",""
"150","S","S37","UL","ULCA",179,"ULXXCA","Ulmus X 'Cathedral'","","N","N",NA,""
"151","S","S33","UL","ULHO",149,"ULHOPI","Ulmus x hollandica 'Pioneer'","Pioneer Elm","N","N","Mortens",""
"152","S","S10","UL","ULMG",180,"ULXXMG","Ulmus x 'Morton Glossy' (Triumph TM)","","N","N",NA,""
"153","I","I6","UL","ULMO",154,"ULXXMO","Ulmus x 'Morton' (Accolade TM)","Morton (Accolade TM) Elm","N","N","Mortons",""
"154","S","S30","UL","ULNH",157,"ULXXNH","Ulmus x New Horizon","Ulmus x New Horizon","N","N","Mortens/TB","Hybrid of non-native U. japonica and non-native U. pumila. Deemed non-invasive: U. pumila heritage makes it susceptible to elm leaf beetle (TB) and tolerant to difficult conditions (Mortens)"
"155","Y","Y94","VI","VIAC",199,"VIAC","Viburnum acerifolium","","Y","Y","Nhttps://plants.ces.ncsu.edu/plants/viburnum-acerifolium/A",""
"156","Y","Y161","WE","WEFL",162,"WEFL","Weigela Florida","Oldfashioned weigela","N","N","USDA/Mortons",""
"157","P","P1","ZE","ZESE",181,"ZESE","Zelkova serrata","Japanese elm","N","N","USDA/TC/Mortens",""
"158","S","S84","ZE","ZESE",181,"ZESE","Zelkova serrata","Japanese elm","N","N","USDA/TC/Mortens",""
