"","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","Native_SLL","Native_ETF","Origin.Source","Invasive.Source","Comments"
"81","Y","Y44","AC","ACTA","ACTA","Acer tataricum","Tartarian Maple","N","N","USDA","WI",""
"82","S","S75","AE","AEGL","AEGL","Aesculus glabra","Ohio Buckeye","N","Y","USDA/TC/LM","WI",""
"83","A","A7","AE","AEHI","AEHI","Aesculus hippocastanum","Common Horsechesnut","N","N","USDA/TC/Mortens","WI",""
"84","Y","Y67","AL","ALGL","ALGL","Alnus glutinosa","European Black Alder","N","N","USDA/TC","WI/Mortens",""
"85","P","P3","AM","AM","AM","Amelanchier","","Y","Y",NA,"",""
"86","Y","Y48","AM","AMAR","AMAR","Amelanchier arborea","","Y","Y","Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA","",""
"87","A","A9","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry","Y","Y","USDA/TC/LM","WI","Synonym: Amelanchier arborea"
"88","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora","Apple Serviceberry","Y","Y","Mortens/LM/TC","WI","Hybrid of native Amelanchier canadensis and laevis"
"89","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'","Autumn Brillance Serviceberry","Y","Y","Mortens/LM/TC","WI","Hybrid of native Amelanchier canadensis and laevis"
"90","S","S1","AM","AMGR","AMGRPD","Amelanchier g. 'Princess Diana'","Amelanchier g. 'Princess Diana'","Y","Y","Mortens/LM/TC","WI","Hybrid of native Amelanchier canadensis and laevis"
"91","S","S1","AM","AMGR","AMGRRH","Amelanchier x grandiflora 'Robin Hill'","Robin Hill Serviceberry","Y","Y","Mortens/LM/TC","WI","Hybrid of native Amelanchier canadensis and laevis"
"92","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora","Apple Serviceberry","Y","Y","Mortens/LM/TC","WI","Hybrid of native Amelanchier canadensis and laevis"
"93","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'","Autumn Brillance Serviceberry","Y","Y","Mortens/LM/TC","WI","Hybrid of native Amelanchier canadensis and laevis"
