"","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","DBH","Native_SLL","Native_ETF"
"85","Public","Street","S","S120","AM","AMCA","AMCA","Amelanchier canadensis",5,"Y","Y"
"86","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"87","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"88","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"89","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"90","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"91","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"92","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"93","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"94","Public","Street","S","S1","AM","AMGR","AMGR","Amelanchier x grandiflora",5,"Y","Y"
"95","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"96","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"97","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"98","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"99","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"100","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"101","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"102","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"103","Public","Street","S","S1","AM","AMGR","AMGRAB","Amelanchier x grandiflora 'Autumn Brillance'",5,"Y","Y"
"104","Public","Street","S","S124","BE","BENI","BENIHE","Betula nigra 'Heritage'",5,"N","Y"
"105","Public","Street","S","S124","BE","BENI","BENIHE","Betula nigra 'Heritage'",5,"N","Y"
"106","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"107","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"108","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"109","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"110","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"111","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"112","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"113","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"114","Public","Street","S","S1","CA","CRCO","CRCO","Carya cordiformis",5,"Y","Y"
"115","Public","Street","S","S34","CA","CTSP","CTSP","Catalpa speciosa",6,"N","Y"
"116","Public","Street","S","S9","CE","CEOC","CEOC","Celtis occidentalis",24,"Y","Y"
"117","Public","Street","S","S9","CE","CEOC","CEOC","Celtis occidentalis",24,"Y","Y"
"118","Public","Street","S","S55","CE","CDJA","CDJA","Cercidiphyllum japonicum",5,"N","N"
"119","Public","Street","S","S55","CE","CDJA","CDJA","Cercidiphyllum japonicum",5,"N","N"
"120","Public","Parc","P","P2","CR","CG","CG","Crataegus",9,NA,NA
"121","Public","Parc","P","P2","CR","CGMO","CGMO","Crataegus x mordensis",6,"N","N"
"122","Public","Street","S","S2","FR","FRPE","FRPE","Fraxinus pennsylvanica",27,"Y","Y"
"123","Public","Street","S","S2","FR","FRPE","FRPE","Fraxinus pennsylvanica",27,"Y","Y"
"124","Public","Street","S","S2","FR","FRPE","FRPE","Fraxinus pennsylvanica",27,"Y","Y"
"125","Public","Street","S","S2","FR","FRPE","FRPE","Fraxinus pennsylvanica",27,"Y","Y"
"126","Public","Street","S","S2","FR","FRPE","FRPE","Fraxinus pennsylvanica",27,"Y","Y"
"127","Public","Street","S","S62","FR","FRPE","FRPEMS","Fraxinus pennsylvanica 'Marshall Seedless'",29,"Y","Y"
"128","Public","Street","S","S62","FR","FRPE","FRPEMS","Fraxinus pennsylvanica 'Marshall Seedless'",29,"Y","Y"
"129","Public","Street","S","S62","FR","FRPE","FRPEMS","Fraxinus pennsylvanica 'Marshall Seedless'",29,"Y","Y"
"130","Public","Street","S","S62","FR","FRPE","FRPEMS","Fraxinus pennsylvanica 'Marshall Seedless'",29,"Y","Y"
"131","Public","Street","S","S62","FR","FRPE","FRPEMS","Fraxinus pennsylvanica 'Marshall Seedless'",29,"Y","Y"
"132","Public","Street","S","S90","FR","FRPE","FRPESU","Fraxinus pennsylvanica 'Summit'",22,"Y","Y"
"133","Public","Street","S","S90","FR","FRPE","FRPESU","Fraxinus pennsylvanica 'Summit'",22,"Y","Y"
"134","Public","Street","S","S90","FR","FRPE","FRPESU","Fraxinus pennsylvanica 'Summit'",22,"Y","Y"
"135","Public","Street","S","S90","FR","FRPE","FRPESU","Fraxinus pennsylvanica 'Summit'",22,"Y","Y"
"136","Public","Street","S","S90","FR","FRPE","FRPESU","Fraxinus pennsylvanica 'Summit'",22,"Y","Y"
"137","Public","Street","S","S17","GI","GIBI","GIBI","Ginkgo biloba",5,"N","N"
"138","Public","Street","S","S17","GI","GIBI","GIBI","Ginkgo biloba",5,"N","N"
"139","Public","Street","S","S89","GI","GIBI","GIBIAG","Ginkgo biloba 'Autumn Gold'",5,"N","N"
"140","Public","Street","S","S89","GI","GIBI","GIBIAG","Ginkgo biloba 'Autumn Gold'",5,"N","N"
"141","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
"142","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
"143","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
"144","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
"145","Public","Street","S","S108","GL","GLTR","GLTR","Gleditsia triacanthos",20,"N","Y"
