"","ABBA","ACFR","ACRU","ACSA","ACSC","AMCA","AMGR","AMLA","BEAL","CEOC","CGPU","CRCA","CRCO","FRAM","FRPE","JNCO"
"S62",0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"S63",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S65",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S66",0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"S67",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S70",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"S72",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S79",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"S8",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S81",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"S82",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S84",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S88",0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"S89",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"S9",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"S90",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"S91",0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"S92",0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"S93",0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"S95",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"S96",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S98",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
