"","X","ABUNDANCE_TOT","ABUNDANCE_NAT","Region","Proportions"
"257","S51",4,2,"ETF",0.5
"258","S52",3,3,"ETF",1
"259","S53",5,4,"ETF",0.8
"260","S54",6,6,"ETF",1
"261","S55",7,5,"ETF",0.714285714285714
"262","S56",5,4,"ETF",0.8
"263","S57",9,6,"ETF",0.666666666666667
"264","S58",6,5,"ETF",0.833333333333333
"265","S59",13,13,"ETF",1
"266","S6",5,5,"ETF",1
"267","S60",9,5,"ETF",0.555555555555556
"268","S61",9,1,"ETF",0.111111111111111
"269","S62",11,8,"ETF",0.727272727272727
"270","S63",5,4,"ETF",0.8
"271","S64",4,3,"ETF",0.75
"272","S65",6,2,"ETF",0.333333333333333
"273","S66",8,8,"ETF",1
"274","S67",8,1,"ETF",0.125
"275","S69",4,2,"ETF",0.5
"276","S7",5,0,"ETF",0
"277","S70",5,5,"ETF",1
"278","S71",4,1,"ETF",0.25
"279","S72",8,6,"ETF",0.75
"280","S73",12,0,"ETF",0
"281","S74",12,11,"ETF",0.916666666666667
"282","S75",4,3,"ETF",0.75
"283","S76",5,4,"ETF",0.8
"284","S77",5,2,"ETF",0.4
"285","S78",3,2,"ETF",0.666666666666667
"286","S79",5,4,"ETF",0.8
"287","S8",8,8,"ETF",1
"288","S80",8,3,"ETF",0.375
"289","S81",4,4,"ETF",1
"290","S82",9,6,"ETF",0.666666666666667
"291","S83",4,0,"ETF",0
"292","S84",5,4,"ETF",0.8
"293","S85",6,0,"ETF",0
"294","S86",7,0,"ETF",0
"295","S87",2,1,"ETF",0.5
"296","S88",12,12,"ETF",1
"297","S89",13,10,"ETF",0.769230769230769
"298","S9",3,3,"ETF",1
"299","S90",5,5,"ETF",1
"300","S91",4,4,"ETF",1
"301","S92",4,4,"ETF",1
"302","S93",7,4,"ETF",0.571428571428571
"303","S94",2,2,"ETF",1
"304","S95",5,4,"ETF",0.8
"305","S96",6,4,"ETF",0.666666666666667
"306","S97",3,2,"ETF",0.666666666666667
"307","S98",9,8,"ETF",0.888888888888889
"308","S99",2,2,"ETF",1
"309","A1",5,1,"SLL",0.2
"310","A10",4,3,"SLL",0.75
"311","A11",18,10,"SLL",0.555555555555556
"312","A12",10,8,"SLL",0.8
"313","A13",7,4,"SLL",0.571428571428571
"314","A2",4,1,"SLL",0.25
"315","A3",1,0,"SLL",0
"316","A4",3,1,"SLL",0.333333333333333
"317","A5",2,0,"SLL",0
"318","A6",8,6,"SLL",0.75
"319","A7",10,1,"SLL",0.1
"320","A8",4,0,"SLL",0
"321","A9",13,9,"SLL",0.692307692307692
"322","I1",261,134,"SLL",0.513409961685824
"323","I2",50,25,"SLL",0.5
"324","I3",15,9,"SLL",0.6
"325","I4",95,87,"SLL",0.91578947368421
"326","I5",13,7,"SLL",0.538461538461538
"327","I6",219,101,"SLL",0.461187214611872
"328","P1",72,23,"SLL",0.319444444444444
"329","P2",17,3,"SLL",0.176470588235294
"330","P3",37,5,"SLL",0.135135135135135
"331","R1",2,0,"SLL",0
"332","R10",1,1,"SLL",1
"333","R100",1,1,"SLL",1
"334","R101",1,1,"SLL",1
"335","R102",1,1,"SLL",1
"336","R103",13,8,"SLL",0.615384615384615
"337","R104",1,0,"SLL",0
"338","R105",1,1,"SLL",1
"339","R106",1,1,"SLL",1
"340","R107",5,5,"SLL",1
"341","R108",2,1,"SLL",0.5
"342","R109",1,1,"SLL",1
"343","R11",8,2,"SLL",0.25
"344","R110",8,3,"SLL",0.375
"345","R111",1,0,"SLL",0
"346","R112",2,0,"SLL",0
"347","R113",74,33,"SLL",0.445945945945946
"348","R114",25,11,"SLL",0.44
"349","R115",5,4,"SLL",0.8
"350","R116",11,2,"SLL",0.181818181818182
"351","R117",8,6,"SLL",0.75
"352","R118",125,41,"SLL",0.328
"353","R119",21,4,"SLL",0.19047619047619
"354","R12",1,0,"SLL",0
"355","R120",1,0,"SLL",0
"356","R121",1,0,"SLL",0
"357","R122",1,0,"SLL",0
"358","R123",1,0,"SLL",0
"359","R124",1,0,"SLL",0
"360","R125",4,0,"SLL",0
"361","R126",1,1,"SLL",1
"362","R127",13,3,"SLL",0.230769230769231
"363","R128",3,1,"SLL",0.333333333333333
"364","R129",3,1,"SLL",0.333333333333333
"365","R13",15,8,"SLL",0.533333333333333
"366","R130",1,1,"SLL",1
"367","R131",2,1,"SLL",0.5
"368","R132",28,11,"SLL",0.392857142857143
"369","R133",4,2,"SLL",0.5
"370","R134",9,8,"SLL",0.888888888888889
"371","R135",9,7,"SLL",0.777777777777778
"372","R136",4,0,"SLL",0
"373","R137",27,23,"SLL",0.851851851851852
"374","R138",15,15,"SLL",1
"375","R139",34,10,"SLL",0.294117647058824
"376","R14",3,1,"SLL",0.333333333333333
"377","R140",20,2,"SLL",0.1
"378","R141",5,3,"SLL",0.6
"379","R142",10,0,"SLL",0
"380","R143",44,32,"SLL",0.727272727272727
"381","R144",11,0,"SLL",0
"382","R145",1,0,"SLL",0
"383","R146",3,1,"SLL",0.333333333333333
"384","R147",7,3,"SLL",0.428571428571429
"385","R148",1,0,"SLL",0
"386","R149",26,12,"SLL",0.461538461538462
"387","R15",2,0,"SLL",0
"388","R150",4,2,"SLL",0.5
"389","R151",24,3,"SLL",0.125
"390","R152",44,16,"SLL",0.363636363636364
"391","R153",2,1,"SLL",0.5
"392","R154",5,2,"SLL",0.4
"393","R155",8,7,"SLL",0.875
"394","R156",29,3,"SLL",0.103448275862069
"395","R157",9,9,"SLL",1
"396","R158",4,2,"SLL",0.5
"397","R159",5,2,"SLL",0.4
"398","R16",1,0,"SLL",0
"399","R160",3,2,"SLL",0.666666666666667
"400","R161",35,12,"SLL",0.342857142857143
"401","R162",1,0,"SLL",0
"402","R163",24,21,"SLL",0.875
"403","R164",7,0,"SLL",0
"404","R17",1,1,"SLL",1
"405","R18",3,0,"SLL",0
"406","R19",10,2,"SLL",0.2
"407","R2",6,0,"SLL",0
"408","R20",4,3,"SLL",0.75
"409","R21",2,2,"SLL",1
"410","R22",7,1,"SLL",0.142857142857143
"411","R23",1,0,"SLL",0
"412","R24",2,2,"SLL",1
"413","R25",1,0,"SLL",0
"414","R26",4,1,"SLL",0.25
"415","R27",1,0,"SLL",0
"416","R28",2,1,"SLL",0.5
"417","R29",1,0,"SLL",0
"418","R3",3,1,"SLL",0.333333333333333
"419","R30",1,1,"SLL",1
"420","R31",1,1,"SLL",1
"421","R32",3,3,"SLL",1
"422","R33",6,6,"SLL",1
"423","R34",2,1,"SLL",0.5
"424","R35",3,1,"SLL",0.333333333333333
"425","R36",1,1,"SLL",1
"426","R37",4,0,"SLL",0
"427","R38",2,0,"SLL",0
"428","R39",9,9,"SLL",1
"429","R4",3,3,"SLL",1
"430","R40",2,0,"SLL",0
"431","R41",1,0,"SLL",0
"432","R42",3,0,"SLL",0
"433","R43",1,0,"SLL",0
"434","R44",14,1,"SLL",0.0714285714285714
"435","R45",2,1,"SLL",0.5
"436","R46",2,1,"SLL",0.5
"437","R47",1,0,"SLL",0
"438","R48",4,3,"SLL",0.75
"439","R49",3,2,"SLL",0.666666666666667
"440","R5",4,3,"SLL",0.75
"441","R50",1,0,"SLL",0
"442","R51",1,0,"SLL",0
"443","R52",1,0,"SLL",0
"444","R53",1,0,"SLL",0
"445","R54",2,0,"SLL",0
"446","R55",1,0,"SLL",0
"447","R56",2,0,"SLL",0
"448","R57",1,0,"SLL",0
"449","R58",2,2,"SLL",1
"450","R59",1,0,"SLL",0
"451","R6",2,1,"SLL",0.5
"452","R60",1,1,"SLL",1
"453","R61",1,1,"SLL",1
"454","R62",1,1,"SLL",1
"455","R63",3,2,"SLL",0.666666666666667
"456","R64",1,0,"SLL",0
"457","R65",2,0,"SLL",0
"458","R66",1,0,"SLL",0
"459","R67",16,11,"SLL",0.6875
"460","R68",1,1,"SLL",1
"461","R69",3,0,"SLL",0
"462","R7",5,3,"SLL",0.6
"463","R70",1,0,"SLL",0
"464","R71",1,0,"SLL",0
"465","R72",1,0,"SLL",0
"466","R73",7,3,"SLL",0.428571428571429
"467","R74",1,0,"SLL",0
"468","R75",1,1,"SLL",1
"469","R76",1,1,"SLL",1
"470","R77",1,1,"SLL",1
"471","R78",3,3,"SLL",1
"472","R79",2,0,"SLL",0
"473","R8",3,3,"SLL",1
"474","R80",2,0,"SLL",0
"475","R81",2,1,"SLL",0.5
"476","R82",1,0,"SLL",0
"477","R83",5,1,"SLL",0.2
"478","R84",2,0,"SLL",0
"479","R85",3,0,"SLL",0
"480","R86",6,1,"SLL",0.166666666666667
"481","R87",1,1,"SLL",1
"482","R88",1,1,"SLL",1
"483","R89",2,0,"SLL",0
"484","R9",2,1,"SLL",0.5
"485","R90",1,0,"SLL",0
"486","R91",2,0,"SLL",0
"487","R92",1,0,"SLL",0
"488","R93",1,1,"SLL",1
"489","R94",4,3,"SLL",0.75
"490","R95",2,0,"SLL",0
"491","R96",1,0,"SLL",0
"492","R97",1,0,"SLL",0
"493","R98",1,1,"SLL",1
"494","R99",1,0,"SLL",0
"495","S1",20,20,"SLL",1
"496","S10",7,5,"SLL",0.714285714285714
"497","S100",4,0,"SLL",0
"498","S101",3,2,"SLL",0.666666666666667
"499","S102",7,6,"SLL",0.857142857142857
"500","S103",9,0,"SLL",0
"501","S104",6,2,"SLL",0.333333333333333
"502","S105",8,0,"SLL",0
"503","S106",8,0,"SLL",0
"504","S107",8,0,"SLL",0
"505","S108",4,0,"SLL",0
"506","S109",2,0,"SLL",0
"507","S11",7,1,"SLL",0.142857142857143
"508","S110",9,3,"SLL",0.333333333333333
"509","S111",10,0,"SLL",0
"510","S112",4,4,"SLL",1
"511","S113",5,5,"SLL",1
"512","S114",6,0,"SLL",0
"513","S116",1,1,"SLL",1
"514","S117",10,10,"SLL",1
"515","S119",7,6,"SLL",0.857142857142857
"516","S12",6,6,"SLL",1
"517","S120",13,11,"SLL",0.846153846153846
"518","S121",10,0,"SLL",0
"519","S123",6,0,"SLL",0
"520","S124",8,2,"SLL",0.25
"521","S125",6,1,"SLL",0.166666666666667
"522","S126",2,2,"SLL",1
"523","S127",5,1,"SLL",0.2
"524","S13",5,0,"SLL",0
"525","S14",7,6,"SLL",0.857142857142857
"526","S15",6,6,"SLL",1
"527","S16",12,11,"SLL",0.916666666666667
"528","S17",5,0,"SLL",0
"529","S18",9,3,"SLL",0.333333333333333
"530","S19",7,0,"SLL",0
"531","S2",8,1,"SLL",0.125
"532","S20",7,3,"SLL",0.428571428571429
"533","S21",6,6,"SLL",1
"534","S22",11,2,"SLL",0.181818181818182
"535","S24",10,4,"SLL",0.4
"536","S25",7,1,"SLL",0.142857142857143
"537","S26",5,0,"SLL",0
"538","S27",8,0,"SLL",0
"539","S28",1,0,"SLL",0
"540","S29",3,2,"SLL",0.666666666666667
"541","S3",10,2,"SLL",0.2
"542","S30",7,0,"SLL",0
"543","S31",4,0,"SLL",0
"544","S32",5,2,"SLL",0.4
"545","S33",5,2,"SLL",0.4
"546","S34",4,0,"SLL",0
"547","S35",11,6,"SLL",0.545454545454545
"548","S36",9,6,"SLL",0.666666666666667
"549","S37",5,0,"SLL",0
"550","S38",4,2,"SLL",0.5
"551","S39",6,0,"SLL",0
"552","S4",2,1,"SLL",0.5
"553","S40",4,0,"SLL",0
"554","S41",4,1,"SLL",0.25
"555","S42",4,1,"SLL",0.25
"556","S43",5,3,"SLL",0.6
"557","S44",7,3,"SLL",0.428571428571429
"558","S45",3,1,"SLL",0.333333333333333
"559","S46",3,0,"SLL",0
"560","S47",7,0,"SLL",0
"561","S48",5,1,"SLL",0.2
"562","S49",2,0,"SLL",0
"563","S5",3,1,"SLL",0.333333333333333
"564","S50",4,4,"SLL",1
"565","S51",4,0,"SLL",0
"566","S52",3,0,"SLL",0
"567","S53",5,0,"SLL",0
"568","S54",6,0,"SLL",0
"569","S55",7,4,"SLL",0.571428571428571
"570","S56",5,3,"SLL",0.6
"571","S57",9,0,"SLL",0
"572","S58",6,1,"SLL",0.166666666666667
"573","S59",13,1,"SLL",0.0769230769230769
"574","S6",5,3,"SLL",0.6
"575","S60",9,1,"SLL",0.111111111111111
"576","S61",9,0,"SLL",0
"577","S62",11,6,"SLL",0.545454545454545
"578","S63",5,2,"SLL",0.4
"579","S64",4,0,"SLL",0
"580","S65",6,1,"SLL",0.166666666666667
"581","S66",8,5,"SLL",0.625
"582","S67",8,1,"SLL",0.125
"583","S69",4,2,"SLL",0.5
"584","S7",5,0,"SLL",0
"585","S70",5,5,"SLL",1
"586","S71",4,0,"SLL",0
"587","S72",8,5,"SLL",0.625
"588","S73",12,0,"SLL",0
"589","S74",12,11,"SLL",0.916666666666667
"590","S75",4,0,"SLL",0
"591","S76",5,1,"SLL",0.2
"592","S77",5,2,"SLL",0.4
"593","S78",3,0,"SLL",0
"594","S79",5,4,"SLL",0.8
"595","S8",8,8,"SLL",1
"596","S80",8,3,"SLL",0.375
"597","S81",4,2,"SLL",0.5
"598","S82",9,1,"SLL",0.111111111111111
"599","S83",4,0,"SLL",0
"600","S84",5,3,"SLL",0.6
"601","S85",6,0,"SLL",0
"602","S86",7,0,"SLL",0
"603","S87",2,0,"SLL",0
"604","S88",12,12,"SLL",1
"605","S89",13,10,"SLL",0.769230769230769
"606","S9",3,2,"SLL",0.666666666666667
"607","S90",5,5,"SLL",1
"608","S91",4,4,"SLL",1
"609","S92",4,4,"SLL",1
"610","S93",7,3,"SLL",0.428571428571429
"611","S94",2,0,"SLL",0
"612","S95",5,4,"SLL",0.8
"613","S96",6,4,"SLL",0.666666666666667
"614","S97",3,1,"SLL",0.333333333333333
"615","S98",9,8,"SLL",0.888888888888889
"616","S99",2,0,"SLL",0
